dataset_part:0.1
protein_dim:100
atom_dim:34
hid_dim:64
n_layers:3
n_heads:1
pf_dim:512
dropout:0.01
batch:8
lr:0.0001
weight_decay:0.01
decay_interval:5
lr_decay:1.0
iteration:20
kernel_size:7
remove_trans_layer:0
opt_:radam
epoch   time   loss_train   AUC_test   AUC_dev   AUC_train   PRC_test   PRC_dev   PRC_train
1	52.4907	91.5616	0.5206	0.6237	0.6206	0.5449	0.5989	0.6184
2	103.214	89.6398	0.6087	0.7412	0.706	0.618	0.698	0.7168
3	153.1766	86.4586	0.6439	0.7475	0.7462	0.6623	0.7267	0.7625
4	203.2182	81.9119	0.6751	0.7508	0.7752	0.684	0.7348	0.7799
5	253.3304	77.1774	0.6838	0.7551	0.7992	0.6955	0.7405	0.816
6	301.9892	74.5272	0.6982	0.7599	0.824	0.7057	0.7432	0.8381
7	350.5881	72.9563	0.6977	0.7578	0.8387	0.6992	0.7405	0.8555
8	399.2749	70.7385	0.7021	0.7593	0.8496	0.7043	0.7125	0.8699
9	448.4672	68.2573	0.704	0.7488	0.8523	0.7089	0.6993	0.8702
10	498.172	67.2078	0.7057	0.7475	0.8588	0.7095	0.6967	0.879
11	547.021	65.4296	0.7011	0.7428	0.8729	0.7021	0.6849	0.889
12	596.1383	62.6592	0.7107	0.7415	0.8694	0.7145	0.6895	0.8882
13	645.8675	62.5359	0.7066	0.7384	0.8774	0.7055	0.6893	0.8968
14	695.1032	61.5849	0.6951	0.7293	0.8791	0.6992	0.6738	0.8971
15	743.5315	59.6212	0.7147	0.7503	0.8842	0.7167	0.705	0.9034
16	792.1346	58.0595	0.6993	0.7402	0.8914	0.7115	0.6998	0.9055
17	841.476	58.7566	0.7052	0.7429	0.8981	0.7143	0.6922	0.9141
18	890.628	56.0672	0.6974	0.7263	0.9075	0.7084	0.6729	0.9225
19	939.1516	54.2449	0.6805	0.7062	0.8981	0.6879	0.6548	0.912
20	988.0743	54.8683	0.7103	0.7348	0.9261	0.7113	0.6973	0.9365
