dataset_part:0.1
protein_dim:100
atom_dim:34
hid_dim:64
n_layers:3
n_heads:8
pf_dim:512
dropout:0.2
batch:8
lr:0.0001
weight_decay:0.0001
decay_interval:5
lr_decay:1.0
iteration:20
kernel_size:7
remove_trans_layer:0
opt_:radam
epoch   time   loss_train   AUC_test   AUC_dev   AUC_train   PRC_test   PRC_dev   PRC_train
1	59.2731	92.1325	0.503	0.4991	0.4997	0.5295	0.4933	0.5248
2	112.5939	91.2451	0.5816	0.5519	0.6278	0.5769	0.5212	0.612
3	165.8372	90.6749	0.6083	0.573	0.675	0.6014	0.5401	0.6568
4	218.6996	89.3116	0.6231	0.5791	0.7159	0.6307	0.5676	0.7095
5	271.2875	88.5756	0.6336	0.6012	0.7309	0.6504	0.6038	0.7249
6	323.7383	87.1686	0.6433	0.606	0.7481	0.6615	0.6095	0.7425
7	376.1987	85.887	0.653	0.6115	0.7703	0.6689	0.6113	0.7762
8	428.6481	83.2807	0.6596	0.6277	0.7798	0.6695	0.6312	0.7807
9	481.5148	80.765	0.6671	0.6308	0.7778	0.6813	0.6261	0.7733
10	534.5607	79.5731	0.6728	0.6502	0.7905	0.6863	0.6474	0.7824
11	586.9098	75.7953	0.6807	0.6462	0.7992	0.6953	0.6484	0.7964
12	640.847	75.194	0.6873	0.6582	0.7995	0.7019	0.6657	0.8024
13	694.1242	74.3027	0.6879	0.6496	0.8108	0.6989	0.6594	0.812
14	747.7367	73.978	0.6936	0.6595	0.8166	0.711	0.6706	0.8224
15	801.694	73.3134	0.6979	0.6653	0.8184	0.7134	0.6754	0.8203
16	855.0191	71.6506	0.7025	0.6699	0.8223	0.7173	0.6847	0.828
17	908.4399	72.8683	0.7031	0.6696	0.821	0.7189	0.6874	0.8247
18	961.8174	70.8586	0.7003	0.6674	0.8274	0.7186	0.6865	0.834
19	1014.7121	70.3907	0.7023	0.6719	0.8341	0.7183	0.6942	0.8437
20	1067.0657	69.6154	0.7028	0.6763	0.8463	0.7195	0.696	0.853
