dataset_part:0.1
protein_dim:100
atom_dim:34
hid_dim:64
n_layers:3
n_heads:8
pf_dim:512
dropout:0.1
batch:8
lr:0.0001
weight_decay:0.01
decay_interval:5
lr_decay:1.0
iteration:20
kernel_size:7
remove_trans_layer:0
opt_:radam
epoch   time   loss_train   AUC_test   AUC_dev   AUC_train   PRC_test   PRC_dev   PRC_train
1	54.3684	91.9749	0.5637	0.5818	0.5649	0.5901	0.5738	0.5614
2	106.2896	90.3712	0.6013	0.6263	0.6067	0.6098	0.5961	0.6059
3	157.9359	89.9967	0.6226	0.6661	0.6707	0.625	0.6141	0.6664
4	209.5424	87.7756	0.651	0.6992	0.7225	0.6527	0.6457	0.7135
5	261.3087	85.7917	0.6613	0.7279	0.7339	0.6629	0.6697	0.7278
6	311.8029	84.8674	0.671	0.7444	0.7633	0.6761	0.7135	0.7519
7	363.6593	82.451	0.6764	0.7347	0.7844	0.6811	0.7083	0.7808
8	415.0843	81.7354	0.6814	0.7477	0.7987	0.6875	0.7254	0.804
9	467.4373	77.5953	0.6878	0.7508	0.8021	0.6901	0.7201	0.8067
10	519.6652	76.6164	0.6932	0.7531	0.814	0.6948	0.7223	0.823
11	571.1543	74.2865	0.6969	0.758	0.8316	0.7009	0.7234	0.8433
12	622.7041	71.567	0.7061	0.7529	0.8358	0.7091	0.7153	0.8524
13	674.4675	70.4997	0.7039	0.7653	0.843	0.7059	0.7214	0.8622
14	725.5816	71.0605	0.7051	0.7638	0.8455	0.7086	0.7122	0.8647
15	775.905	67.4031	0.7084	0.7642	0.8555	0.7112	0.7239	0.8746
16	826.3346	65.0277	0.7061	0.76	0.8632	0.7149	0.7157	0.8817
17	877.5172	66.5801	0.7049	0.7585	0.8669	0.7185	0.7228	0.8859
18	928.3654	65.1409	0.7059	0.7553	0.8717	0.7162	0.7194	0.889
19	978.3483	64.2801	0.7071	0.7521	0.8754	0.7123	0.7116	0.8929
20	1028.8273	63.9256	0.7073	0.7602	0.8897	0.7189	0.7265	0.9033
